Estado Start/Stop;Ambiente;App Name;Owner;COMPUTER NAME;RESOURCE GROUP;SUBSCRIPTION;LOCATION;SIZE;Schedule
Inactivo;QL;;;qlwvdinfhp7-0;NE-QL-WVD-HP7-RG;DDD-WVD-QL;North Europe;Standard_B4ms;
Inactivo;QL;;;qlwvdinfhp9-0;NE-QL-WVD-HP9-RG;DDD-WVD-QL;North Europe;Standard_B8ms;
Inactivo;DV;;;TEMPJAVATEST;ne-dv-azrpi-app-rg;DDD-DV;North Europe;Standard_D2s_v5;
Inactivo;QL;;;w10devprim01;NE-QL-WVD-HP6-RG;DDD-WVD-QL;North Europe;Standard_B4ms;
Inactivo;QL;;;w10devprim02;NE-QL-WVD-HP6-RG;DDD-WVD-QL;North Europe;Standard_B4ms;
Inactivo;QL;;;w10devprim03;NE-QL-WVD-HP6-RG;DDD-WVD-QL;North Europe;Standard_B4ms;
Inactivo;QL;;;w10devprim04;NE-QL-WVD-HP6-RG;DDD-WVD-QL;North Europe;Standard_B4ms;
Inactivo;PR;;;w10prdduitwvd01;ne-pr-wvd-hp13-rg;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd02;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd03;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd04;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd05;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd06;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd07;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd08;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd09;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd10;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd11;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd12;ne-pr-wvd-hp13-rg;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd13;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd14;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd15;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Inactivo;PR;;;w10prdduitwvd16;NE-PR-WVD-HP13-RG;DSP-WVD-PR;North Europe;Standard_D2ds_v5;
Activo;QL;Smart PBC;Paulino Carvalho;qlcapbcdgwvms01;NE-QL-CAPBC-DGW-RG;DDD-AEA-EIG-QA;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Activo;QL;Smart PBC;Paulino Carvalho;qlcapbcdgwvms02;NE-QL-CAPBC-DGW-RG;DDD-AEA-EIG-QA;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Activo;QL;Smart PBC;Paulino Carvalho;qleigdatsql01;NE-QL-EIG-INF-RG;DDD-AEA-EIG-QA;North Europe;Standard_DS11_v2;Desligado dias da semana das 20h às 8h e Fins-de-semana
Agendamento em progresso;QL;SmartDoc;Inês Rebelo Pinto;qlsmdocappana01;NE-QL-SMDOC-APP-RG;DDA AEA QA;North Europe;Standard_B2ms;Desligado dias da semana das 20h às 8h e Fins-de-semana
Inactivo;QL;;;w10quaprim01;NE-QL-WVD-HP6-RG;DDD-WVD-QL;North Europe;Standard_B4ms;
Inactivo;QL;;;w10quaprim02;NE-QL-WVD-HP6-RG;DDD-WVD-QL;North Europe;Standard_B4ms;
Inactivo;QL;;;w10quaprim03;ne-ql-wvd-hp6-rg;DDD-WVD-QL;North Europe;Standard_B4ms;
Inactivo;QL;;;w10quaprim04;NE-QL-WVD-HP6-RG;DDD-WVD-QL;North Europe;Standard_B4ms;Desligar dias úteis das 20h às 8h e aos FDS
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;; ;;;;;
